job_name,construct,uniprot_range,length_aa,n_ca_ions,cbegf_domains,domains_covered,destination,sha256_sequence
FBN1_cbEGF21-23_Ca3,cbEGF21-23,1446-1647,202,3,"21,22,23",EGF-like 25; calcium-binding [cbEGF21] (1446-1486); EGF-like 26; calcium-binding [cbEGF22] (1487-1527); TB 6 (1532-1589); EGF-like 27; calcium-binding [cbEGF23] (1606-1647),structures/alphafold/FBN1_cbEGF21-23_Ca3/,b174363849810c30
FBN1_cbEGF23-25_Ca3,cbEGF23-25,1606-1807,202,3,"23,24,25",EGF-like 27; calcium-binding [cbEGF23] (1606-1647); EGF-like 28; calcium-binding [cbEGF24] (1648-1688); TB 7 (1693-1748); EGF-like 29; calcium-binding [cbEGF25] (1766-1807),structures/alphafold/FBN1_cbEGF23-25_Ca3/,402e9b6917d8465d
FBN1_cbEGF25-27_Ca3,cbEGF25-27,1766-1890,125,3,"25,26,27",EGF-like 29; calcium-binding [cbEGF25] (1766-1807); EGF-like 30; calcium-binding [cbEGF26] (1808-1848); EGF-like 31; calcium-binding [cbEGF27] (1849-1890),structures/alphafold/FBN1_cbEGF25-27_Ca3/,1e4f34ab9fa66b4a
FBN1_cbEGF27-29_Ca3,cbEGF27-29,1849-1972,124,3,"27,28,29",EGF-like 31; calcium-binding [cbEGF27] (1849-1890); EGF-like 32; calcium-binding [cbEGF28] (1891-1929); EGF-like 33; calcium-binding [cbEGF29] (1930-1972),structures/alphafold/FBN1_cbEGF27-29_Ca3/,56e90cce85332053
FBN1_cbEGF29-31_Ca3,cbEGF29-31,1930-2054,125,3,"29,30,31",EGF-like 33; calcium-binding [cbEGF29] (1930-1972); EGF-like 34; calcium-binding [cbEGF30] (1973-2012); EGF-like 35; calcium-binding [cbEGF31] (2013-2054),structures/alphafold/FBN1_cbEGF29-31_Ca3/,e2dead2ffcfa037f
FBN1_cbEGF31-33_Ca3,cbEGF31-33,2013-2205,193,3,"31,32,33",EGF-like 35; calcium-binding [cbEGF31] (2013-2054); TB 8 (2059-2111); EGF-like 36; calcium-binding [cbEGF32] (2127-2165); EGF-like 37; calcium-binding [cbEGF33] (2166-2205),structures/alphafold/FBN1_cbEGF31-33_Ca3/,c9abe079c6e83745
FBN1_cbEGF33-35_Ca3,cbEGF33-35,2166-2290,125,3,"33,34,35",EGF-like 37; calcium-binding [cbEGF33] (2166-2205); EGF-like 38; calcium-binding [cbEGF34] (2206-2246); EGF-like 39; calcium-binding [cbEGF35] (2247-2290),structures/alphafold/FBN1_cbEGF33-35_Ca3/,ed1da4ec3aa52f8b
FBN1_cbEGF35-37_Ca3,cbEGF35-37,2247-2443,197,3,"35,36,37",EGF-like 39; calcium-binding [cbEGF35] (2247-2290); EGF-like 40; calcium-binding [cbEGF36] (2291-2332); TB 9 (2337-2390); EGF-like 41; calcium-binding [cbEGF37] (2402-2443),structures/alphafold/FBN1_cbEGF35-37_Ca3/,e3a6a7f3e0ea1537
FBN1_cbEGF37-39_Ca3,cbEGF37-39,2402-2523,122,3,"37,38,39",EGF-like 41; calcium-binding [cbEGF37] (2402-2443); EGF-like 42; calcium-binding [cbEGF38] (2444-2484); EGF-like 43; calcium-binding [cbEGF39] (2485-2523),structures/alphafold/FBN1_cbEGF37-39_Ca3/,623b97a61c695545
FBN1_cbEGF39-41_Ca3,cbEGF39-41,2485-2606,122,3,"39,40,41",EGF-like 43; calcium-binding [cbEGF39] (2485-2523); EGF-like 44; calcium-binding [cbEGF40] (2524-2566); EGF-like 45; calcium-binding [cbEGF41] (2567-2606),structures/alphafold/FBN1_cbEGF39-41_Ca3/,0fe127e246477d18
FBN1_cbEGF41-43_Ca3,cbEGF41-43,2567-2687,121,3,"41,42,43",EGF-like 45; calcium-binding [cbEGF41] (2567-2606); EGF-like 46; calcium-binding [cbEGF42] (2607-2647); EGF-like 47; calcium-binding [cbEGF43] (2648-2687),structures/alphafold/FBN1_cbEGF41-43_Ca3/,8338cabab1d9aba0
