key	formatted	doi
haller2020	Haller SJ, Roitberg AE, Dudley AT. Steered molecular dynamic simulations reveal Marfan syndrome mutations disrupt fibrillin-1 cbEGF domain mechanosensitive calcium binding. *Sci Rep* 10, 16844 (2020)	10.1038/s41598-020-73969-2
rao1995	Rao Z, Handford P, Mayhew M, Knott V, Brownlee GG, Stuart D. The structure of a Ca²⁺-binding epidermal growth factor-like domain: its role in protein–protein interactions. *Cell* 82, 131–141 (1995)	10.1016/0092-8674(95)90059-4
lee2004	Lee SS, *et al.* Structure of the integrin binding fragment from fibrillin-1 gives new insights into microfibril organization. *Structure* 12, 717–729 (2004)	10.1016/j.str.2004.02.023
smallridge2003	Smallridge RS, *et al.* Solution structure and dynamics of a calcium binding epidermal growth factor-like domain pair from the neonatal region of human fibrillin-1. *J Biol Chem* 278, 12199–12206 (2003)	10.1074/jbc.M208266200
jensen2009	Jensen SA, Iqbal S, Lowe ED, Redfield C, Handford PA. Structure and interdomain interactions of a hybrid domain: a disulphide-rich module of the fibrillin/LTBP superfamily of matrix proteins. *Structure* 17, 759–768 (2009)	10.1016/j.str.2009.03.014
landrum2018	Landrum MJ, *et al.* ClinVar: improving access to variant interpretations and supporting evidence. *Nucleic Acids Res* 46, D1062–D1067 (2018)	10.1093/nar/gkx1153
karczewski2020	Karczewski KJ, *et al.* The mutational constraint spectrum quantified from variation in 141,456 humans. *Nature* 581, 434–443 (2020)	10.1038/s41586-020-2308-7
chen2024	Chen S, *et al.* A genomic mutational constraint map using variation in 76,156 human genomes. *Nature* 625, 92–100 (2024)	10.1038/s41586-023-06045-0
abramson2024	Abramson J, *et al.* Accurate structure prediction of biomolecular interactions with AlphaFold 3. *Nature* 630, 493–500 (2024)	10.1038/s41586-024-07487-w
schymkowitz2005	Schymkowitz J, *et al.* The FoldX web server: an online force field. *Nucleic Acids Res* 33, W382–W388 (2005)	10.1093/nar/gki387
alford2017	Alford RF, *et al.* The Rosetta all-atom energy function for macromolecular modeling and design. *J Chem Theory Comput* 13, 3031–3048 (2017)	10.1021/acs.jctc.7b00125
cheng2023	Cheng J, *et al.* Accurate proteome-wide missense variant effect prediction with AlphaMissense. *Science* 381, eadg7492 (2023)	10.1126/science.adg7492
brown1985	Brown ID, Altermatt D. Bond-valence parameters obtained from a systematic analysis of the Inorganic Crystal Structure Database. *Acta Crystallogr B* 41, 244–247 (1985)	10.1107/S0108768185002063
zheng2017	Zheng H, *et al.* CheckMyMetal: a macromolecular metal-binding validation tool. *Acta Crystallogr D* 73, 223–233 (2017)	10.1107/S2059798317001061
pejaver2022	Pejaver V, *et al.* Calibration of computational tools for missense variant pathogenicity classification and ClinGen recommendations for PP3/BP4 criteria. *Am J Hum Genet* 109, 2163–2177 (2022)	10.1016/j.ajhg.2022.10.013
dana2019	Dana JM, *et al.* SIFTS: updated Structure Integration with Function, Taxonomy and Sequences resource allows 40-fold increase in coverage of structure-based annotations for proteins. *Nucleic Acids Res* 47, D482–D489 (2019)	10.1093/nar/gky1114
uniprot2023	UniProt Consortium. UniProt: the Universal Protein Knowledgebase in 2023. *Nucleic Acids Res* 51, D523–D531 (2023)	10.1093/nar/gkac1052
mitternacht2016	Mitternacht S. FreeSASA: an open source C library for solvent accessible surface area calculations. *F1000Res* 5, 189 (2016)	10.12688/f1000research.7931.1
kabsch1983	Kabsch W, Sander C. Dictionary of protein secondary structure: pattern recognition of hydrogen-bonded and geometrical features. *Biopolymers* 22, 2577–2637 (1983)	10.1002/bip.360221211
richards2015	Richards S, *et al.* Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. *Genet Med* 17, 405–424 (2015)	10.1038/gim.2015.30
loeys2010	Loeys BL, *et al.* The revised Ghent nosology for the Marfan syndrome. *J Med Genet* 47, 476–485 (2010)	10.1136/jmg.2009.072785
milewicz2021	Milewicz DM, *et al.* Marfan syndrome. *Nat Rev Dis Primers* 7, 64 (2021)	10.1038/s41572-021-00298-7
jumper2021	Jumper J, *et al.* Highly accurate protein structure prediction with AlphaFold. *Nature* 596, 583–589 (2021)	10.1038/s41586-021-03819-2
varadi2024	Varadi M, *et al.* AlphaFold Protein Structure Database in 2024: providing structure coverage for over 214 million protein sequences. *Nucleic Acids Res* 52, D368–D375 (2024)	10.1093/nar/gkad1011
hekkelman2023	Hekkelman ML, de Vries I, Joosten RP, Perrakis A. AlphaFill: enriching AlphaFold models with ligands and cofactors. *Nat Methods* 20, 205–213 (2023)	10.1038/s41592-022-01685-y
asano2022	Asano K, Cantalupo A, Sedes L, Ramirez F. The multiple functions of fibrillin-1 microfibrils in organismal physiology. *Int J Mol Sci* 23, 1892 (2022)	10.3390/ijms23031892
delhomme2022	Delhomme C, *et al.* Genotype–mitral valve phenotype correlations in Marfan syndrome with *FBN1* pathogenic variants. *JACC Adv* 1, 100149 (2022)	10.1016/j.jacadv.2022.100149
vallat2026	Vallat B, *et al.* RCSB Protein Data Bank: delivering integrative structures alongside experimental structures and computed structure models. *Nucleic Acids Res* 54, D489–D498 (2026)	10.1093/nar/gkaf1187
ioannidis2016	Ioannidis NM, *et al.* REVEL: an ensemble method for predicting the pathogenicity of rare missense variants. *Am J Hum Genet* 99, 877–885 (2016)	10.1016/j.ajhg.2016.08.016
benjamini1995	Benjamini Y, Hochberg Y. Controlling the false discovery rate: a practical and powerful approach to multiple testing. *J R Stat Soc B* 57, 289–300 (1995)	10.1111/j.2517-6161.1995.tb02031.x
mann1947	Mann HB, Whitney DR. On a test of whether one of two random variables is stochastically larger than the other. *Ann Math Stat* 18, 50–60 (1947)	10.1214/aoms/1177730491
wilson1927	Wilson EB. Probable inference, the law of succession, and statistical inference. *J Am Stat Assoc* 22, 209–212 (1927)	10.1080/01621459.1927.10502953
cliff1993	Cliff N. Dominance statistics: ordinal analyses to answer ordinal questions. *Psychol Bull* 114, 494–509 (1993)	10.1037/0033-2909.114.3.494
harris2020	Harris CR, *et al.* Array programming with NumPy. *Nature* 585, 357–362 (2020)	10.1038/s41586-020-2649-2
virtanen2020	Virtanen P, *et al.* SciPy 1.0: fundamental algorithms for scientific computing in Python. *Nat Methods* 17, 261–272 (2020)	10.1038/s41592-019-0686-2
hunter2007	Hunter JD. Matplotlib: a 2D graphics environment. *Comput Sci Eng* 9, 90–95 (2007)	10.1109/MCSE.2007.55
touw2015	Touw WG, *et al.* A series of PDB-related databanks for everyday needs. *Nucleic Acids Res* 43, D364–D368 (2015)	10.1093/nar/gku1028
nivon2013	Nivón LG, Moretti R, Baker D. A Pareto-optimal refinement method for protein design scaffolds. *PLoS One* 8, e59004 (2013)	10.1371/journal.pone.0059004
harding2006	Harding MM. Small revisions to predicted distances around metal sites in proteins. *Acta Crystallogr D* 62, 678–682 (2006)	10.1107/S0907444906014594
morales2022	Morales J, *et al.* A joint NCBI and EMBL-EBI transcript set for clinical genomics and research. *Nature* 604, 310–315 (2022)	10.1038/s41586-022-04558-8
dendunnen2016	den Dunnen JT, *et al.* HGVS recommendations for the description of sequence variants: 2016 update. *Hum Mutat* 37, 564–569 (2016)	10.1002/humu.22981
wildeman2008	Wildeman M, van Ophuizen E, den Dunnen JT, Taschner PEM. Improving sequence variant descriptions in mutation databases and literature using the Mutalyzer sequence variation nomenclature checker. *Hum Mutat* 29, 6–13 (2008)	10.1002/humu.20654
rehm2015	Rehm HL, *et al.* ClinGen — the Clinical Genome Resource. *N Engl J Med* 372, 2235–2242 (2015)	10.1056/NEJMsr1406261
rees1988	Rees DJG, *et al.* The role of β-hydroxyaspartate and adjacent carboxylate residues in the first EGF domain of human factor IX. *EMBO J* 7, 2053–2061 (1988)	10.1002/j.1460-2075.1988.tb03045.x
neptune2003	Neptune ER, *et al.* Dysregulation of TGF-β activation contributes to pathogenesis in Marfan syndrome. *Nat Genet* 33, 407–411 (2003)	10.1038/ng1116
ramirez2009	Ramirez F, Sakai LY. Biogenesis and function of fibrillin assemblies. *Cell Tissue Res* 339, 71–82 (2009)	10.1007/s00441-009-0822-x
collodberoud2003	Collod-Béroud G, *et al.* Update of the UMD-FBN1 mutation database and creation of an FBN1 polymorphism database. *Hum Mutat* 22, 199–208 (2003)	10.1002/humu.10249
wojdyr2022	Wojdyr M. GEMMI: a library for structural biology. *J Open Source Softw* 7, 4200 (2022)	10.21105/joss.04200
